artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
50a45c3d-b54b-4fd5-bb83-5046e4ff6813,David Arkenstone,26d8f140-ff9a-4809-9a30-216045991b2a,,Pure Sleep: Music And Nature Sounds For Peaceful Dreams,Mindful Breathing,https://www.last.fm/music/David+Arkenstone/_/Mindful+Breathing,"18 Dec 2023, 23:56"
f92f5ebc-ed15-4737-a21e-65e9c8d2421b,Chris Conway,,,Кельтская Золото,Kельтская колыбельная,https://www.last.fm/music/Chris+Conway/_/K%D0%B5%D0%BB%D1%8C%D1%82%D1%81%D0%BA%D0%B0%D1%8F+%D0%BA%D0%BE%D0%BB%D1%8B%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F,"18 Dec 2023, 23:48"
,Nature Sound Retreat,,,10 Minute Meditations - Music for Relaxation,Peaceful Dreams Lullaby - For Deep Sleep & Soothing Baby,https://www.last.fm/music/Nature+Sound+Retreat/_/Peaceful+Dreams+Lullaby+-+For+Deep+Sleep+&+Soothing+Baby,"18 Dec 2023, 23:38"
,Pavel Dombrovsky,,,Лучшая классическая музыка для фортепиано,"Этюд-картина № 2 ля минор, соч. 39","https://www.last.fm/music/Pavel+Dombrovsky/_/%D0%AD%D1%82%D1%8E%D0%B4-%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B0+%E2%84%96+2+%D0%BB%D1%8F+%D0%BC%D0%B8%D0%BD%D0%BE%D1%80,+%D1%81%D0%BE%D1%87.+39","18 Dec 2023, 23:30"
,Deuter,84a4a661-99cc-3865-b7fe-63a1501bbb9d,,Wind and Mountain: Music for Healing and Relaxation,Lotus,https://www.last.fm/music/Deuter/_/Lotus,"18 Dec 2023, 23:22"
d8451fb8-74d0-4509-a242-6f683641234b,The City of Prague Philharmonic Orchestra,,,Epics - the History of the World According to Hollywood,"The Mission / Gabriel's Oboe / On Earth as It Is in Heaven (From ""The Mission"")",https://www.last.fm/music/The+City+of+Prague+Philharmonic+Orchestra/_/The+Mission+%2F+Gabriel%27s+Oboe+%2F+On+Earth+as+It+Is+in+Heaven+(From+%22The+Mission%22),"18 Dec 2023, 23:14"
1b04885e-5940-4cfd-b369-08a778a2b34d,Vindsvept,52b807dd-e612-4e8d-950e-0f87fc5add87,,Vindsvept Collection 2021,Deep Sleep of the Elven King,https://www.last.fm/music/Vindsvept/_/Deep+Sleep+of+the+Elven+King,"18 Dec 2023, 23:05"
6d09039b-3e1f-49ef-b8e3-b8b7267a8578,Joel Ross,2b4fb6f0-79d8-47e3-a7d2-ba94aec94c79,,PRAYER,Prayer,https://www.last.fm/music/Joel+Ross/_/Prayer,"18 Dec 2023, 22:57"
,Трио Дмитрия Илугдина,,,Никитский бульвар,Элегия,https://www.last.fm/music/%D0%A2%D1%80%D0%B8%D0%BE+%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D1%8F+%D0%98%D0%BB%D1%83%D0%B3%D0%B4%D0%B8%D0%BD%D0%B0/_/%D0%AD%D0%BB%D0%B5%D0%B3%D0%B8%D1%8F,"18 Dec 2023, 22:48"
,Liquid Mind,339ae8c2-d8f9-459f-83c3-64f77fa0cdca,1e842565-d3a8-4377-9d92-79f86a5e3d45,Liquid Mind XI: Deep Sleep,Dreamland,https://www.last.fm/music/Liquid+Mind/_/Dreamland,"18 Dec 2023, 22:40"
