artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
,Eric Radford,,,Marmara,Marmara,https://www.last.fm/music/Eric+Radford/_/Marmara,"13 Mar 2024, 18:17"
24730ee6-f3af-42f1-8d2f-07c39a4414be,LowXY,,,Broken Horizons,Despair,https://www.last.fm/music/LowXY/_/Despair,"13 Mar 2024, 18:09"
e02883cb-346c-4d88-a867-523feb60312a,State Azure,,,Digiseeds,Vertigo,https://www.last.fm/music/State+Azure/_/Vertigo,"13 Mar 2024, 18:00"
aae9b192-e3c5-4ce9-a6d6-6033fdd335f8,Rudy Adrian,32b290ca-47bd-3734-a457-c51b268eb1fe,eb71e741-6836-4803-8ef4-acf941a09cff,MoonWater,Summer Fields,https://www.last.fm/music/Rudy+Adrian/_/Summer+Fields,"13 Mar 2024, 17:53"
a1ced3e5-476c-4046-bd74-d428f419989b,Daughter,02562a68-efd3-4a59-a8cd-0f1a05f28c3a,2310ea7c-7e24-4cec-b57a-34a6455a6abd,If You Leave,Shallows,https://www.last.fm/music/Daughter/_/Shallows,"13 Mar 2024, 17:46"
2e9a2ac1-fd8e-4111-aab8-97fbdacfb274,H.U.V.A. Network,,c7ba938a-d3b3-4eee-9fc9-8c51eec86f0a,Ephemeris,Orientations part 2 (Ephemeride 15.43°),https://www.last.fm/music/H.U.V.A.+Network/_/Orientations+part+2+(Ephemeride+15.43%C2%B0),"13 Mar 2024, 17:38"
,Worrytrain,755bc39a-a0df-3632-8bb8-2dab23817de3,008d1936-31a0-4e54-b274-8ca2e898693e,"Fog Dance, My Moth Kingdom",The Trenches Choir,https://www.last.fm/music/Worrytrain/_/The+Trenches+Choir,"13 Mar 2024, 17:29"
,Roberto Bravo,,,Música Para Soñar,Merry-go Round of Life,https://www.last.fm/music/Roberto+Bravo/_/Merry-go+Round+of+Life,"13 Mar 2024, 17:25"
,Гребенщик,,,Местоимения,Тепло,https://www.last.fm/music/%D0%93%D1%80%D0%B5%D0%B1%D0%B5%D0%BD%D1%89%D0%B8%D0%BA/_/%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE,"13 Mar 2024, 17:21"
b42b1f74-9e95-4cc5-94a7-ea4c9a3e9322,Crystin,eef7d811-c8f9-3ea1-842e-d85085863592,,Astronaut,Under my skin,https://www.last.fm/music/Crystin/_/Under+my+skin,"13 Mar 2024, 17:16"
14503d80-d0e0-4ff5-b791-8b4b0686b744,Kjartan Sveinsson,,4e5f4f05-8a3c-4bcd-8bee-848180cbbeeb,Der Klang der Offenbarung des Göttlichen,Teil I,https://www.last.fm/music/Kjartan+Sveinsson/_/Teil+I,"13 Mar 2024, 17:08"
,Mantus,f9269959-9560-44d4-84b8-a30ccfeacd60,87b82cfe-1d9b-4d00-b5d0-81e6fe00ad9c,Melancholia,Zur Sonne,https://www.last.fm/music/Mantus/_/Zur+Sonne,"13 Mar 2024, 17:04"
,Вадим Эйленкриг,,,Pier 39: Music by Yerkesh Shakeyev,Oblivion,https://www.last.fm/music/%D0%92%D0%B0%D0%B4%D0%B8%D0%BC+%D0%AD%D0%B9%D0%BB%D0%B5%D0%BD%D0%BA%D1%80%D0%B8%D0%B3/_/Oblivion,"13 Mar 2024, 16:58"
1c70a3fc-fa3c-4be1-8b55-c3192db8a884,Röyksopp,22937fcb-8695-4d68-9cef-a869a4ae4e8d,050d2a95-6e27-4524-893b-2224ec75d48b,The Inevitable End,You Know I Have To Go,https://www.last.fm/music/R%C3%B6yksopp/_/You+Know+I+Have+To+Go,"13 Mar 2024, 16:50"
,3slow2,,,"Flowers (Slowed + Reverb) - I Can Buy Myself Flowers, Write My Name in the Sand","Flowers (Slowed + Reverb) - I Can Buy Myself Flowers, Write My Name in the Sand","https://www.last.fm/music/3slow2/_/Flowers+(Slowed+%252B+Reverb)+-+I+Can+Buy+Myself+Flowers,+Write+My+Name+in+the+Sand","13 Mar 2024, 16:46"
,Niki,,,Split,Split,https://www.last.fm/music/Niki/_/Split,"13 Mar 2024, 16:42"
,Black Math,,,New Game,Strangelove,https://www.last.fm/music/Black+Math/_/Strangelove,"13 Mar 2024, 16:38"
f91b9b28-25b7-4064-81d1-f43163085770,Мумий Тролль,,,Передвигая вещи,Передвигая вещи,https://www.last.fm/music/%D0%9C%D1%83%D0%BC%D0%B8%D0%B9+%D0%A2%D1%80%D0%BE%D0%BB%D0%BB%D1%8C/_/%D0%9F%D0%B5%D1%80%D0%B5%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%8F+%D0%B2%D0%B5%D1%89%D0%B8,"13 Mar 2024, 16:35"
,Vlad Holiday,17abb5c7-2ae2-46f9-a4db-c4f4370f4442,1c172b11-c6d4-4fac-9f31-048b5b9d2e65,Fall Apart with Me,Twisted the Covers,https://www.last.fm/music/Vlad+Holiday/_/Twisted+the+Covers,"13 Mar 2024, 16:31"
